customer_id,month,repayment_probability,alternative_credit_score,risk_category,repayment_label
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-01,0.6332,679,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-01,0.6304,678,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-03,0.6432,685,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-04,0.6244,674,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-05,0.6349,680,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-05,0.6311,678,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-06,0.6566,693,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-07,0.646,687,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-08,0.6324,679,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-09,0.6451,687,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-10,0.6492,689,Medium,1
ae7af4cc-a2b3-442d-a998-b7cc036c2854,2025-11,0.6283,676,Medium,1
78bf4aa8-873b-471b-9d8c-859415886c80,2025-01,0.2053,423,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-01,0.2366,441,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-03,0.2902,474,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-04,0.2678,460,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-05,0.2268,436,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-05,0.1815,408,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-06,0.2377,442,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-07,0.2446,446,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-08,0.1917,415,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-09,0.3309,498,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-10,0.3739,524,High,0
78bf4aa8-873b-471b-9d8c-859415886c80,2025-11,0.1913,414,High,0
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-01,0.5804,648,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-01,0.6506,690,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-03,0.6102,666,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-04,0.6182,670,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-05,0.6072,664,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-05,0.6162,669,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-06,0.5878,652,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-07,0.5611,636,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-08,0.5968,658,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-09,0.6158,669,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-10,0.5726,643,Medium,1
10df122a-a8a6-414a-8062-cbfa2aa3792b,2025-11,0.6455,687,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-01,0.6387,683,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-01,0.6411,684,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-03,0.6444,686,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-04,0.624,674,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-05,0.6379,682,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-05,0.6331,679,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-06,0.6344,680,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-07,0.6327,679,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-08,0.6375,682,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-09,0.6227,673,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-10,0.6217,673,Medium,1
e64b87e6-51ea-4824-bd16-f11b2445072f,2025-11,0.616,669,Medium,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-01,0.7218,733,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-01,0.7367,742,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-03,0.7322,739,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-04,0.7462,747,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-05,0.7306,738,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-05,0.729,737,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-06,0.7276,736,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-07,0.7435,746,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-08,0.748,748,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-09,0.7366,741,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-10,0.7097,725,Low,1
28a6c88a-2c42-4e4c-a4e5-90806c057dc4,2025-11,0.7407,744,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-01,0.7151,729,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-01,0.7121,727,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-03,0.7415,744,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-04,0.7215,732,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-05,0.714,728,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-05,0.7013,720,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-06,0.7333,739,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-07,0.7224,733,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-08,0.7247,734,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-09,0.7453,747,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-10,0.7343,740,Low,1
825908f8-9acf-44a4-8bd8-6e3649e93d74,2025-11,0.7003,720,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-01,0.7268,736,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-01,0.7356,741,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-03,0.7327,739,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-04,0.7345,740,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-05,0.7461,747,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-05,0.7437,746,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-06,0.7383,742,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-07,0.7591,755,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-08,0.7412,744,Low,1
51eb5d4b-dabd-487d-babd-6478ffe05365,2025-09,0.7344,740,Low,1
